invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I117291,C134449,Male,46,Books,5,75.75,Credit Card,09-12-2022,Zorlu Center
I267193,C317818,Female,19,Cosmetics,3,121.98,Credit Card,12-01-2023,Mall of Istanbul
I205366,C241642,Female,43,Clothing,4,1200.32,Debit Card,07-11-2022,Zorlu Center
I269690,C126436,Male,18,Cosmetics,3,121.98,Debit Card,07-02-2022,Zorlu Center
I304265,C653385,Female,22,Books,5,75.75,Debit Card,13-06-2021,Forum Istanbul
I246562,C227070,Female,61,Cosmetics,5,203.3,Cash,23-08-2021,Emaar Square Mall
I202367,C317478,Female,41,Books,3,45.45,Cash,24-02-2023,Istinye Park
I664787,C237330,Female,53,Cosmetics,2,81.32,Credit Card,12-01-2023,Istinye Park
I160777,C626042,Female,43,Technology,4,4200,Cash,22-02-2022,Metrocity
I137794,C133687,Female,45,Food & Beverage,3,15.69,Debit Card,12-03-2021,Viaport Outlet
I148377,C841663,Female,29,Clothing,1,300.08,Cash,02-01-2022,Istinye Park
I258195,C213742,Male,43,Toys,2,71.68,Cash,26-11-2021,Kanyon
I300213,C962515,Female,19,Clothing,4,1200.32,Credit Card,21-04-2021,Kanyon
I263803,C112279,Female,67,Food & Beverage,3,15.69,Cash,23-06-2021,Kanyon
I335713,C158837,Female,36,Books,4,60.6,Cash,14-12-2021,Kanyon
I133061,C336576,Male,64,Clothing,5,1500.4,Credit Card,09-06-2022,Mall of Istanbul
I207205,C716161,Female,33,Clothing,1,300.08,Debit Card,26-11-2021,Kanyon
I209289,C439382,Female,33,Clothing,4,1200.32,Credit Card,05-02-2021,Kanyon
I157285,C123427,Male,66,Clothing,4,1200.32,Cash,06-03-2022,Mall of Istanbul
I218590,C224743,Female,29,Cosmetics,4,162.64,Debit Card,09-05-2022,Metropol AVM
I181109,C119549,Male,22,Toys,3,107.52,Cash,17-10-2022,Mall of Istanbul
I221715,C187266,Female,63,Food & Beverage,3,15.69,Cash,22-01-2022,Cevahir AVM
I204979,C173084,Female,24,Souvenir,5,58.65,Debit Card,14-03-2021,Istinye Park
I115146,C126956,Female,24,Cosmetics,5,203.3,Cash,27-04-2022,Metrocity
I883721,C236859,Female,44,Technology,5,5250,Credit Card,19-11-2021,Mall of Istanbul
I402376,C309926,Male,34,Shoes,5,3000.85,Cash,10-09-2022,Forum Istanbul
I251356,C493252,Female,47,Cosmetics,4,162.64,Cash,04-09-2021,Kanyon
I292239,C109871,Male,38,Food & Beverage,5,26.15,Cash,21-08-2022,Mall of Istanbul
I276526,C136117,Female,57,Shoes,5,3000.85,Debit Card,02-10-2021,Emaar Square Mall
I260525,C258404,Male,67,Toys,3,107.52,Cash,07-01-2023,Emaar Square Mall
I870944,C169749,Male,41,Souvenir,3,35.19,Credit Card,08-06-2021,Cevahir AVM
I739573,C199947,Female,40,Clothing,5,1500.4,Debit Card,17-04-2021,Kanyon
I115870,C135790,Female,69,Shoes,4,2400.68,Cash,04-09-2021,Metrocity
I190444,C606418,Female,47,Food & Beverage,5,26.15,Cash,20-07-2022,Mall of Istanbul
I309552,C111611,Female,53,Food & Beverage,4,20.92,Credit Card,14-07-2021,Istinye Park
I306076,C679476,Male,40,Toys,2,71.68,Cash,01-11-2022,Emaar Square Mall
I321683,C542025,Male,60,Cosmetics,4,162.64,Credit Card,06-01-2023,Metrocity
I151332,C168491,Male,30,Souvenir,2,23.46,Cash,25-03-2021,Kanyon
I340014,C169650,Female,66,Clothing,2,600.16,Credit Card,08-09-2022,Istinye Park
I249424,C158160,Male,22,Food & Beverage,1,5.23,Cash,18-02-2022,Mall of Istanbul
I227716,C552345,Male,53,Food & Beverage,2,10.46,Cash,22-04-2021,Kanyon
I140663,C218383,Female,52,Clothing,5,1500.4,Cash,15-10-2022,Zorlu Center
I253242,C309438,Male,26,Shoes,5,3000.85,Cash,07-04-2022,Mall of Istanbul
I108359,C253905,Male,66,Food & Beverage,1,5.23,Cash,07-06-2022,Mall of Istanbul
I195567,C992677,Male,65,Clothing,4,1200.32,Debit Card,22-01-2023,Metropol AVM
I289643,C584700,Female,43,Technology,2,2100,Cash,22-08-2022,Kanyon
I722319,C157070,Female,59,Toys,1,35.84,Debit Card,03-10-2021,Kanyon
I317105,C177975,Female,30,Souvenir,5,58.65,Debit Card,29-07-2021,Kanyon
I215721,C830576,Female,25,Cosmetics,2,81.32,Debit Card,16-12-2022,Metrocity
I154469,C807389,Female,29,Toys,3,107.52,Debit Card,03-06-2021,Mall of Istanbul
I172458,C277842,Female,19,Clothing,2,600.16,Debit Card,17-12-2021,Cevahir AVM
I297270,C183011,Male,62,Clothing,5,1500.4,Credit Card,31-12-2022,Metropol AVM
I153930,C567813,Male,39,Food & Beverage,3,15.69,Cash,09-08-2022,Forum Istanbul
I282854,C282974,Female,33,Clothing,3,900.24,Cash,31-07-2022,Kanyon
I869144,C181972,Female,26,Food & Beverage,4,20.92,Debit Card,04-05-2021,Mall of Istanbul
I283443,C189493,Male,43,Technology,3,3150,Credit Card,25-05-2022,Viaport Outlet
I193271,C242748,Female,40,Food & Beverage,3,15.69,Debit Card,23-12-2022,Kanyon
I985478,C324683,Male,55,Clothing,4,1200.32,Credit Card,24-01-2023,Kanyon
I200392,C307921,Female,24,Clothing,5,1500.4,Credit Card,14-09-2021,Viaport Outlet
I256691,C152549,Male,24,Cosmetics,1,40.66,Cash,04-02-2022,Metrocity
I796162,C111832,Female,30,Food & Beverage,5,26.15,Credit Card,06-01-2022,Metrocity
I224371,C204174,Male,34,Clothing,5,1500.4,Credit Card,01-02-2022,Mall of Istanbul
I215998,C279370,Female,64,Clothing,5,1500.4,Cash,26-10-2022,Cevahir AVM
I338966,C907582,Female,57,Clothing,5,1500.4,Cash,21-09-2022,Mall of Istanbul
I293215,C166635,Male,18,Cosmetics,4,162.64,Credit Card,12-12-2021,Istinye Park
I149688,C276043,Female,26,Clothing,4,1200.32,Cash,21-08-2021,Zorlu Center
I109649,C282643,Female,19,Food & Beverage,3,15.69,Debit Card,08-10-2021,Emaar Square Mall
I299820,C820515,Female,22,Books,3,45.45,Cash,22-11-2021,Kanyon
I157775,C331761,Male,48,Clothing,1,300.08,Cash,19-03-2022,Kanyon
I317140,C326893,Female,56,Souvenir,5,58.65,Cash,19-10-2022,Istinye Park
I147334,C306395,Male,35,Clothing,2,600.16,Cash,12-01-2022,Viaport Outlet
I278121,C885344,Female,60,Toys,4,143.36,Debit Card,07-06-2021,Metrocity
I134452,C112750,Female,32,Clothing,1,300.08,Credit Card,15-01-2023,Forum Istanbul
I320846,C274870,Male,27,Clothing,4,1200.32,Credit Card,11-11-2021,Kanyon
I740676,C199864,Female,56,Clothing,2,600.16,Credit Card,21-09-2022,Istinye Park
I142331,C997380,Male,35,Cosmetics,4,162.64,Debit Card,30-05-2021,Metrocity
I222983,C132002,Female,68,Clothing,1,300.08,Credit Card,23-12-2021,Metropol AVM
I164665,C255058,Female,64,Technology,2,2100,Cash,30-04-2022,Kanyon
I133387,C271799,Female,60,Toys,4,143.36,Cash,07-06-2021,Forum Istanbul
I276763,C765620,Male,64,Toys,5,179.2,Debit Card,21-02-2022,Kanyon
I273890,C891545,Female,41,Clothing,3,900.24,Debit Card,26-08-2021,Emaar Square Mall
I774221,C519513,Male,30,Food & Beverage,5,26.15,Cash,15-12-2021,Metrocity
I202171,C125624,Male,40,Clothing,1,300.08,Debit Card,20-02-2021,Mall of Istanbul
I219780,C658980,Female,29,Clothing,2,600.16,Cash,08-10-2021,Kanyon
I160221,C319231,Male,25,Clothing,3,900.24,Cash,01-08-2022,Mall of Istanbul
I106691,C150594,Female,60,Clothing,4,1200.32,Cash,09-09-2021,Kanyon
I129886,C846730,Female,42,Food & Beverage,5,26.15,Cash,25-10-2021,Metrocity
I745394,C249877,Male,54,Food & Beverage,1,5.23,Cash,14-12-2021,Metropol AVM
I157056,C200826,Female,50,Clothing,5,1500.4,Cash,20-06-2021,Kanyon
I304531,C263874,Male,54,Clothing,1,300.08,Debit Card,07-04-2021,Metropol AVM
I762439,C663463,Female,45,Books,4,60.6,Cash,05-12-2021,Metrocity
I300972,C134370,Female,40,Cosmetics,1,40.66,Credit Card,25-05-2021,Zorlu Center
I151588,C310642,Male,24,Books,3,45.45,Credit Card,12-04-2022,Metrocity
I657069,C651699,Male,40,Clothing,4,1200.32,Cash,16-12-2021,Mall of Istanbul
I122655,C989693,Female,32,Technology,2,2100,Credit Card,21-02-2021,Metropol AVM
I236914,C123581,Female,28,Clothing,3,900.24,Cash,26-10-2021,Mall of Istanbul
I247471,C192446,Female,22,Toys,1,35.84,Cash,18-12-2022,Mall of Istanbul
I362306,C143343,Female,21,Clothing,1,300.08,Credit Card,19-09-2022,Metrocity
I215279,C223343,Female,31,Clothing,2,600.16,Credit Card,01-02-2023,Kanyon
I216061,C309082,Female,61,Food & Beverage,3,15.69,Credit Card,05-10-2022,Mall of Istanbul
I246375,C236365,Female,67,Cosmetics,2,81.32,Cash,28-11-2021,Kanyon
I103596,C178734,Male,52,Shoes,5,3000.85,Cash,03-08-2021,Kanyon
I259878,C223010,Male,44,Clothing,4,1200.32,Credit Card,12-10-2022,Metropol AVM
I206422,C289933,Female,48,Food & Beverage,2,10.46,Credit Card,28-09-2022,Kanyon
I201704,C340116,Female,53,Food & Beverage,3,15.69,Cash,12-07-2021,Metrocity
I168037,C816586,Male,27,Toys,4,143.36,Cash,03-07-2021,Mall of Istanbul
I307534,C434171,Female,28,Cosmetics,4,162.64,Cash,26-03-2022,Viaport Outlet
I259196,C215384,Female,43,Toys,4,143.36,Credit Card,17-05-2022,Cevahir AVM
I141241,C143442,Male,54,Souvenir,5,58.65,Credit Card,11-04-2022,Kanyon
I289973,C102926,Male,41,Food & Beverage,5,26.15,Credit Card,22-10-2021,Kanyon
I147203,C340063,Female,59,Cosmetics,5,203.3,Cash,20-12-2021,Istinye Park
I323788,C131786,Female,32,Clothing,1,300.08,Credit Card,17-03-2022,Metropol AVM
I285454,C194380,Female,41,Souvenir,5,58.65,Credit Card,23-06-2022,Metropol AVM
I288152,C269623,Female,30,Technology,3,3150,Debit Card,19-06-2021,Mall of Istanbul
I134126,C847171,Male,22,Clothing,1,300.08,Debit Card,30-08-2022,Istinye Park
I311052,C556552,Female,51,Clothing,4,1200.32,Cash,20-11-2021,Cevahir AVM
I176469,C876528,Female,23,Food & Beverage,2,10.46,Credit Card,31-07-2021,Viaport Outlet
I167993,C303493,Male,40,Toys,2,71.68,Cash,20-02-2022,Kanyon
I222086,C978718,Male,37,Clothing,5,1500.4,Cash,09-02-2023,Emaar Square Mall
I164597,C111766,Female,24,Clothing,1,300.08,Cash,24-03-2021,Mall of Istanbul
I184307,C175946,Male,22,Food & Beverage,1,5.23,Credit Card,25-08-2022,Kanyon
I289905,C160005,Female,61,Cosmetics,4,162.64,Cash,21-10-2021,Kanyon
I416544,C599109,Female,25,Food & Beverage,2,10.46,Credit Card,28-05-2022,Metrocity
I601026,C693789,Female,66,Souvenir,5,58.65,Credit Card,05-03-2022,Zorlu Center
I257890,C259342,Female,59,Shoes,1,600.17,Cash,05-10-2021,Kanyon
I260028,C208108,Male,38,Clothing,4,1200.32,Cash,16-04-2021,Metropol AVM
I170160,C244213,Male,34,Toys,2,71.68,Debit Card,26-02-2023,Metrocity
I624164,C102685,Female,26,Clothing,1,300.08,Cash,20-03-2021,Kanyon
I143353,C244291,Female,59,Souvenir,5,58.65,Cash,15-05-2022,Metrocity
I278401,C162371,Female,53,Toys,1,35.84,Debit Card,31-01-2023,Mall of Istanbul
I402966,C375422,Male,23,Cosmetics,4,162.64,Debit Card,02-10-2021,Viaport Outlet
I244241,C911768,Female,23,Clothing,5,1500.4,Credit Card,03-08-2022,Viaport Outlet
I179048,C270129,Female,66,Technology,3,3150,Debit Card,28-03-2021,Cevahir AVM
I165202,C617189,Female,56,Cosmetics,4,162.64,Cash,21-11-2022,Mall of Istanbul
I328321,C271029,Female,38,Souvenir,2,23.46,Credit Card,12-02-2021,Metropol AVM
I417106,C292356,Male,28,Clothing,3,900.24,Cash,03-04-2021,Cevahir AVM
I248153,C329633,Female,44,Food & Beverage,1,5.23,Cash,03-07-2022,Metropol AVM
I112270,C244780,Female,26,Food & Beverage,4,20.92,Cash,14-02-2021,Mall of Istanbul
I318831,C139568,Female,41,Cosmetics,4,162.64,Credit Card,15-07-2022,Viaport Outlet
I258322,C220281,Male,50,Clothing,4,1200.32,Cash,12-07-2021,Viaport Outlet
I334246,C311034,Female,23,Cosmetics,3,121.98,Cash,19-05-2022,Mall of Istanbul
I198233,C584141,Female,31,Cosmetics,4,162.64,Cash,13-02-2023,Metropol AVM
I310819,C221934,Male,26,Cosmetics,5,203.3,Credit Card,27-11-2022,Forum Istanbul
I409288,C513561,Female,56,Food & Beverage,3,15.69,Cash,02-03-2021,Viaport Outlet
I131054,C257990,Female,34,Toys,4,143.36,Cash,16-10-2021,Kanyon
I149521,C168348,Female,29,Clothing,2,600.16,Cash,04-11-2021,Kanyon
I156233,C161285,Female,20,Clothing,1,300.08,Credit Card,11-01-2023,Mall of Istanbul
I295784,C166191,Female,54,Cosmetics,3,121.98,Credit Card,08-06-2022,Forum Istanbul
I255381,C172966,Male,40,Clothing,4,1200.32,Debit Card,24-05-2021,Metrocity
I337719,C320928,Male,40,Cosmetics,5,203.3,Cash,18-01-2021,Istinye Park
I220863,C131497,Male,21,Books,4,60.6,Cash,22-07-2021,Mall of Istanbul
I530401,C526660,Female,32,Technology,2,2100,Cash,25-09-2022,Zorlu Center
I219555,C266961,Male,47,Clothing,3,900.24,Credit Card,10-09-2021,Metrocity
I316629,C204741,Female,41,Souvenir,3,35.19,Cash,16-01-2022,Cevahir AVM
I795251,C181619,Male,33,Cosmetics,5,203.3,Cash,13-11-2022,Kanyon
I151099,C250395,Female,67,Souvenir,2,23.46,Credit Card,14-03-2021,Mall of Istanbul
I286193,C322994,Male,37,Cosmetics,3,121.98,Cash,23-07-2022,Istinye Park
I399563,C250673,Female,38,Toys,1,35.84,Cash,24-06-2021,Metropol AVM
I229355,C192978,Male,28,Shoes,5,3000.85,Credit Card,30-01-2021,Kanyon
I147727,C163033,Female,38,Books,1,15.15,Credit Card,17-04-2022,Kanyon
I504141,C558480,Female,56,Cosmetics,1,40.66,Credit Card,23-02-2023,Kanyon
I246151,C287409,Male,25,Books,3,45.45,Debit Card,05-07-2021,Metropol AVM
I164675,C993675,Male,66,Books,5,75.75,Cash,31-08-2021,Kanyon
I606511,C307535,Female,37,Souvenir,2,23.46,Credit Card,09-09-2022,Viaport Outlet
I342816,C238961,Female,19,Food & Beverage,2,10.46,Cash,04-11-2021,Mall of Istanbul
I151764,C671866,Female,53,Clothing,5,1500.4,Cash,30-06-2022,Kanyon
I226172,C171154,Female,69,Shoes,1,600.17,Cash,24-07-2021,Kanyon
I737630,C848969,Male,69,Clothing,5,1500.4,Cash,15-04-2022,Metropol AVM
I891311,C240171,Female,31,Food & Beverage,2,10.46,Debit Card,25-09-2021,Metropol AVM
I127733,C665777,Male,39,Books,5,75.75,Cash,24-08-2021,Kanyon
I202398,C256730,Male,53,Shoes,5,3000.85,Cash,26-01-2021,Zorlu Center
I160585,C298229,Male,26,Cosmetics,2,81.32,Cash,05-02-2022,Metropol AVM
I771414,C183404,Male,63,Food & Beverage,3,15.69,Cash,09-12-2022,Forum Istanbul
I139520,C316398,Female,34,Clothing,5,1500.4,Cash,14-02-2021,Mall of Istanbul
I291540,C557245,Male,25,Food & Beverage,1,5.23,Debit Card,17-07-2022,Kanyon
I798213,C662958,Female,20,Shoes,3,1800.51,Cash,03-01-2021,Metropol AVM
I232338,C545065,Female,18,Clothing,4,1200.32,Debit Card,22-09-2022,Metropol AVM
I267713,C284679,Male,53,Cosmetics,4,162.64,Credit Card,27-06-2021,Kanyon
I525798,C581947,Male,46,Cosmetics,4,162.64,Cash,03-02-2023,Mall of Istanbul
I353272,C199311,Female,34,Clothing,1,300.08,Credit Card,29-07-2021,Istinye Park
I165687,C206501,Female,61,Clothing,3,900.24,Cash,08-12-2022,Metropol AVM
I169015,C726021,Female,38,Clothing,5,1500.4,Credit Card,11-08-2022,Mall of Istanbul
I111305,C448846,Female,67,Food & Beverage,3,15.69,Cash,13-09-2021,Metropol AVM
I187171,C168663,Male,33,Toys,4,143.36,Credit Card,27-05-2022,Istinye Park
I148276,C616106,Female,63,Clothing,4,1200.32,Debit Card,07-12-2022,Zorlu Center
I783231,C771066,Female,21,Clothing,5,1500.4,Debit Card,05-01-2022,Cevahir AVM
I313426,C101196,Female,41,Cosmetics,4,162.64,Debit Card,05-04-2022,Kanyon
I112291,C898405,Female,48,Food & Beverage,1,5.23,Credit Card,10-01-2022,Cevahir AVM
I402983,C372643,Male,27,Technology,1,1050,Debit Card,30-01-2022,Kanyon
I155076,C195626,Female,22,Toys,5,179.2,Credit Card,21-12-2022,Kanyon
I204056,C622748,Female,54,Clothing,4,1200.32,Credit Card,24-02-2021,Metropol AVM
I218385,C290280,Female,51,Toys,1,35.84,Cash,19-07-2022,Metrocity
I198698,C281268,Female,29,Clothing,1,300.08,Debit Card,15-01-2023,Metropol AVM
I428118,C826744,Female,44,Shoes,2,1200.34,Credit Card,12-01-2023,Kanyon
I204147,C252021,Female,20,Shoes,3,1800.51,Credit Card,05-11-2022,Kanyon
I361028,C647656,Female,59,Shoes,2,1200.34,Cash,23-07-2021,Metrocity
I915945,C250065,Female,23,Clothing,4,1200.32,Credit Card,30-06-2022,Metropol AVM
I165461,C230766,Female,25,Clothing,1,300.08,Credit Card,01-11-2022,Emaar Square Mall
I762381,C243515,Male,63,Shoes,1,600.17,Cash,27-10-2022,Kanyon
I818298,C204632,Male,21,Clothing,5,1500.4,Debit Card,21-08-2022,Kanyon
I261290,C252598,Female,56,Clothing,3,900.24,Credit Card,13-03-2021,Cevahir AVM
I215578,C866033,Male,39,Cosmetics,2,81.32,Credit Card,04-08-2022,Kanyon
I136666,C288416,Male,50,Food & Beverage,2,10.46,Credit Card,01-04-2021,Mall of Istanbul
I120948,C340089,Female,54,Shoes,4,2400.68,Debit Card,08-08-2021,Mall of Istanbul
I173679,C555040,Male,27,Technology,3,3150,Credit Card,28-06-2021,Viaport Outlet
I638275,C809281,Male,56,Clothing,5,1500.4,Credit Card,25-01-2021,Emaar Square Mall
I551237,C375325,Female,53,Clothing,4,1200.32,Cash,22-11-2021,Metropol AVM
I239285,C155335,Female,62,Cosmetics,3,121.98,Credit Card,13-11-2022,Viaport Outlet
I723062,C225051,Female,42,Clothing,4,1200.32,Credit Card,12-08-2022,Kanyon
I353329,C635016,Female,68,Toys,2,71.68,Credit Card,18-09-2022,Metrocity
I321920,C165705,Male,27,Clothing,4,1200.32,Cash,08-06-2021,Mall of Istanbul
I176115,C709571,Male,39,Cosmetics,4,162.64,Cash,30-08-2021,Viaport Outlet
I251743,C851508,Male,44,Toys,3,107.52,Debit Card,19-06-2022,Kanyon
I964173,C184126,Female,52,Clothing,3,900.24,Debit Card,15-12-2022,Emaar Square Mall
I334389,C233642,Female,19,Cosmetics,2,81.32,Cash,29-12-2021,Mall of Istanbul
I251855,C258410,Female,68,Cosmetics,3,121.98,Credit Card,19-06-2022,Cevahir AVM
I985808,C270667,Male,22,Books,5,75.75,Cash,16-06-2021,Emaar Square Mall
I224565,C321527,Male,61,Shoes,1,600.17,Cash,07-02-2021,Emaar Square Mall
I239703,C109489,Male,23,Food & Beverage,3,15.69,Credit Card,17-01-2023,Kanyon
I156413,C103824,Male,34,Cosmetics,5,203.3,Debit Card,20-01-2022,Metrocity
I158683,C126571,Female,33,Souvenir,2,23.46,Debit Card,31-07-2022,Metrocity
I983860,C169676,Female,60,Shoes,1,600.17,Credit Card,30-09-2021,Metropol AVM
I119809,C321889,Female,24,Food & Beverage,1,5.23,Debit Card,06-04-2022,Zorlu Center
I319942,C212128,Male,53,Cosmetics,5,203.3,Debit Card,14-11-2022,Mall of Istanbul
I133278,C301271,Male,22,Clothing,3,900.24,Credit Card,24-02-2021,Metrocity
I252084,C221995,Male,50,Souvenir,4,46.92,Cash,25-05-2021,Metrocity
I182889,C318802,Male,49,Clothing,2,600.16,Credit Card,22-03-2021,Metrocity
I106271,C263812,Male,31,Clothing,1,300.08,Debit Card,22-12-2022,Mall of Istanbul
I112481,C321609,Male,29,Food & Beverage,5,26.15,Cash,07-07-2021,Cevahir AVM
I240751,C666013,Female,52,Food & Beverage,1,5.23,Credit Card,18-09-2021,Kanyon
I282789,C172185,Female,67,Cosmetics,2,81.32,Cash,18-02-2022,Istinye Park
I676291,C150463,Female,50,Food & Beverage,2,10.46,Cash,13-06-2021,Metropol AVM
I827069,C274529,Female,58,Toys,5,179.2,Cash,30-05-2021,Mall of Istanbul
I242823,C242659,Female,50,Clothing,4,1200.32,Debit Card,26-03-2021,Metropol AVM
I208631,C194451,Female,68,Technology,2,2100,Credit Card,27-07-2022,Kanyon
I139308,C252600,Female,59,Souvenir,2,23.46,Credit Card,06-04-2022,Emaar Square Mall
I177201,C309645,Female,66,Clothing,5,1500.4,Cash,04-02-2022,Forum Istanbul
I263818,C336232,Male,69,Souvenir,4,46.92,Cash,26-06-2022,Zorlu Center
I174966,C325906,Male,27,Food & Beverage,5,26.15,Cash,25-07-2022,Mall of Istanbul
I186896,C138755,Female,52,Toys,1,35.84,Credit Card,19-09-2021,Zorlu Center
I207465,C296745,Female,27,Clothing,2,600.16,Cash,10-10-2022,Istinye Park
I191148,C221838,Female,43,Technology,2,2100,Credit Card,29-03-2022,Forum Istanbul
I159487,C104985,Male,36,Clothing,1,300.08,Cash,09-07-2021,Emaar Square Mall
I215141,C826514,Female,19,Souvenir,1,11.73,Cash,25-01-2022,Kanyon
I235828,C267333,Male,21,Books,5,75.75,Cash,14-12-2021,Metrocity
I281274,C130479,Male,20,Clothing,1,300.08,Cash,04-09-2022,Kanyon
I135898,C310108,Female,23,Toys,2,71.68,Debit Card,14-08-2022,Metropol AVM
I943072,C358486,Female,52,Cosmetics,2,81.32,Cash,03-02-2022,Metrocity
I142738,C208738,Male,24,Clothing,4,1200.32,Credit Card,03-01-2021,Kanyon
I304665,C111056,Female,20,Food & Beverage,5,26.15,Credit Card,05-12-2021,Metropol AVM
I133240,C999586,Male,58,Toys,3,107.52,Credit Card,14-06-2022,Zorlu Center
I215906,C296862,Male,21,Clothing,4,1200.32,Debit Card,13-08-2021,Mall of Istanbul
I247747,C101550,Male,35,Shoes,2,1200.34,Cash,11-01-2022,Istinye Park
I227154,C278142,Female,29,Cosmetics,3,121.98,Cash,22-12-2021,Kanyon
I133197,C330779,Male,68,Cosmetics,2,81.32,Credit Card,04-02-2021,Forum Istanbul
I542618,C282968,Female,50,Cosmetics,3,121.98,Debit Card,22-02-2022,Emaar Square Mall
I522612,C852668,Female,44,Toys,3,107.52,Cash,14-09-2021,Kanyon
I336817,C274936,Female,47,Clothing,1,300.08,Cash,03-08-2021,Cevahir AVM
I216982,C269751,Female,48,Souvenir,4,46.92,Cash,02-01-2023,Metrocity
I317443,C136051,Female,39,Toys,1,35.84,Credit Card,23-11-2022,Mall of Istanbul
I115679,C266462,Male,27,Clothing,1,300.08,Cash,10-01-2023,Kanyon
I227707,C329163,Female,34,Shoes,4,2400.68,Cash,10-01-2022,Viaport Outlet
I238456,C305398,Female,65,Food & Beverage,1,5.23,Cash,06-08-2022,Kanyon
I940840,C267961,Female,53,Cosmetics,2,81.32,Cash,19-02-2023,Istinye Park
I298805,C101248,Female,19,Food & Beverage,3,15.69,Credit Card,29-06-2021,Kanyon
I169894,C165812,Female,19,Clothing,2,600.16,Cash,01-07-2021,Istinye Park
I183571,C339518,Female,31,Food & Beverage,1,5.23,Credit Card,07-02-2022,Metrocity
